---------CORE WORDS FOUND--------- 
Form(''I''), HasIPA(1), Usage(10294)
Form(''STEALTHILY''),  InCore(0), Usage(14)
Form(''DUSKY''),  InCore(0), Usage(20)
Form(''EJECTING''),  InCore(0), Usage(1)
Form(''PHOSPHORESCENT''),  InCore(0), Usage(7)
Form(''MINERALOGICAL''),  InCore(0), Usage(1)
Form(''CHERTY''),  InCore(0), Usage(1)
Form(''FELSPATHIC''),  InCore(0), Usage(1)
Form(''SEYCHELLES''),  InCore(0), Usage(2)
Form(''SEAFOWL''),  InCore(0), Usage(2)
Form(''ABROLHOS''),  InCore(0), Usage(2)
Form(''STALACTITIC''),  InCore(0), Usage(1)
Form(''NULLIPORAE''),  InCore(0), Usage(4)
Form(''WOODCUT''),  InCore(0), Usage(5)
Form(''MARCHANTIAE''),  InCore(0), Usage(1)
Form(''TRANSLUCENCY''),  InCore(0), Usage(1)
Form(''BLOWPIPE''),  InCore(0), Usage(3)
Form(''PALER''),  InCore(0), Usage(1)
Form(''NODDY''),  InCore(0), Usage(1)
Form(''GANNET''),  InCore(0), Usage(2)
Form(''TERN''),  InCore(0), Usage(5)
Form(''GRASPUS''),  InCore(0), Usage(1)
Form(''ISLET''),  InCore(0), Usage(14)
Form(''OLFERSIA''),  InCore(0), Usage(1)
Form(''QUEDIUS''),  InCore(0), Usage(1)
Form(''WOODLOUSE''),  InCore(0), Usage(3)
Form(''PHONOLITE''),  InCore(0), Usage(1)
Form(''PINNACLES''),  InCore(0), Usage(16)
Form(''OBELISKS''),  InCore(0), Usage(1)
Form(''LUXURIANCE''),  InCore(0), Usage(12)
Form(''COLUMNAR''),  InCore(0), Usage(4)
Form(''PARASITICAL''),  InCore(0), Usage(11)
Form(''VERDURE''),  InCore(0), Usage(7)
Form(''RIVULET''),  InCore(0), Usage(13)
Form(''SYENITIC''),  InCore(0), Usage(1)
Form(''PLUMBAGO''),  InCore(0), Usage(1)
Form(''BERZELIUS''),  InCore(0), Usage(1)
Form(''FERRUGINOUS''),  InCore(0), Usage(1)
Form(''ANTENNATUS''),  InCore(0), Usage(1)
Form(''DISTENDING''),  InCore(0), Usage(1)
Form(''BRANCHIAL''),  InCore(0), Usage(3)
Form(''CUVIER''),  InCore(0), Usage(8)
Form(''APERTURES''),  InCore(0), Usage(1)
Form(''PAPILLAE''),  InCore(0), Usage(2)
Form(''SECRETES''),  InCore(0), Usage(1)
Form(''FORRES''),  InCore(0), Usage(1)
Form(''TRICHODESMIUM''),  InCore(0), Usage(1)
Form(''ERYTHRAEUM''),  InCore(0), Usage(1)
Form(''LEEUWIN''),  InCore(0), Usage(1)
Form(''SEPTUM''),  InCore(0), Usage(3)
Form(''COLOURLESS''),  InCore(0), Usage(3)
Form(''PULPY''),  InCore(0), Usage(7)
Form(''ANIMALCULA''),  InCore(0), Usage(3)
Form(''CILIAE''),  InCore(0), Usage(2)
Form(''ROTATORY''),  InCore(0), Usage(1)
Form(''VIBRATORY''),  InCore(0), Usage(6)
Form(''MICROSCOPICAL''),  InCore(0), Usage(2)
Form(''CRUSTACEA''),  InCore(0), Usage(11)
Form(''SEALERS''),  InCore(0), Usage(7)
Form(''OVULES''),  InCore(0), Usage(3)
Form(''COLNETT''),  InCore(0), Usage(1)
Form(''COLOURS''),  InCore(0), Usage(37)
Form(''PUTREFYING''),  InCore(0), Usage(3)
Form(''CARCASE''),  InCore(0), Usage(2)
Form(''UNCOILS''),  InCore(0), Usage(1)
Form(''FAVOURABLE''),  InCore(0), Usage(22)
Form(''SCORESBY''),  InCore(0), Usage(3)
Form(''SYMES'S''),  InCore(0), Usage(1)
Form(''ENCYCLOP''),  InCore(0), Usage(2)
Form(''ANAT''),  InCore(0), Usage(1)
Form(''PHYSIOL''),  InCore(0), Usage(1)
Form(''CEPHALOPODA''),  InCore(0), Usage(2)
Form(''LAMINAE''),  InCore(0), Usage(2)
Form(''NARR''),  InCore(0), Usage(2)
Form(''VOL''),  InCore(0), Usage(128)
Form(''PT''),  InCore(0), Usage(1)
Form(''COMPTES''),  InCore(0), Usage(1)
Form(''RENDUS''),  InCore(0), Usage(1)
Form(''JUILLET''),  InCore(0), Usage(1)
Form(''SCIENC''),  InCore(0), Usage(1)
Form(''COQUILLE''),  InCore(0), Usage(3)
Form(''TERRES''),  InCore(0), Usage(1)
Form(''AUSTRALES''),  InCore(0), Usage(1)
Form(''II''),  InCore(0), Usage(76)
Form(''HUMBOLDT'S''),  InCore(0), Usage(4)
Form(''FLINDER'S''),  InCore(0), Usage(1)
Form(''LABILLARDIERE''),  InCore(0), Usage(1)
Form(''ULLOA'S''),  InCore(0), Usage(2)
Form(''ASTROLABE''),  InCore(0), Usage(2)
Form(''FRIO''),  InCore(0), Usage(2)
Form(''BOTOFOGO''),  InCore(0), Usage(3)
Form(''PLANARIAE''),  InCore(0), Usage(5)
Form(''CORCOVADO''),  InCore(0), Usage(10)
Form(''ARTIFICES''),  InCore(0), Usage(2)
Form(''EPEIRA''),  InCore(0), Usage(12)
Form(''UNSYMMETRICAL''),  InCore(0), Usage(1)
Form(''PRAIA''),  InCore(0), Usage(1)
Form(''SPLENDOUR''),  InCore(0), Usage(8)
Form(''ITHACAIA''),  InCore(0), Usage(1)
Form(''HOTTENTOT''),  InCore(0), Usage(1)
Form(''HABITATIONS''),  InCore(0), Usage(7)
Form(''LAGOA''),  InCore(0), Usage(1)
Form(''MARICA''),  InCore(0), Usage(1)
Form(''NEGRESS''),  InCore(0), Usage(3)
Form(''FLITTED''),  InCore(0), Usage(3)
Form(''EGRETS''),  InCore(0), Usage(1)
Form(''FANTASTICAL''),  InCore(0), Usage(2)
Form(''ORCHIDEAE''),  InCore(0), Usage(2)
Form(''MANDETIBA''),  InCore(0), Usage(2)
Form(''VERANDAH''),  InCore(0), Usage(7)
Form(''UNSADDLE''),  InCore(0), Usage(1)
Form(''SENHOR''),  InCore(0), Usage(4)
Form(''FAVOUR''),  InCore(0), Usage(18)
Form(''FOWLS''),  InCore(0), Usage(7)
Form(''FARINHA''),  InCore(0), Usage(2)
Form(''UNFREQUENTLY''),  InCore(0), Usage(5)
Form(''TIMOROUSLY''),  InCore(0), Usage(1)
Form(''REMONSTRATE''),  InCore(0), Usage(2)
Form(''UNGRACIOUS''),  InCore(0), Usage(1)
Form(''FILTHILY''),  InCore(0), Usage(3)
Form(''NOVOS''),  InCore(0), Usage(1)
Form(''SUMPTUOUSLY''),  InCore(0), Usage(2)
Form(''GRUFFLY''),  InCore(0), Usage(4)
Form(''LIMNAEA''),  InCore(0), Usage(1)
Form(''SOLEN''),  InCore(0), Usage(1)
Form(''MYTILUS''),  InCore(0), Usage(1)
Form(''AMPULLARIAE''),  InCore(0), Usage(2)
Form(''HYDROPHILUS''),  InCore(0), Usage(1)
Form(''PASTURAGE''),  InCore(0), Usage(4)
Form(''ANTS'''),  InCore(0), Usage(2)
Form(''JORULLO''),  InCore(0), Usage(2)
Form(''ENGENHODO''),  InCore(0), Usage(1)
Form(''DESMODUS''),  InCore(0), Usage(1)
Form(''D'ORBIGNYI''),  InCore(0), Usage(2)
Form(''BIVOUACKING''),  InCore(0), Usage(1)
Form(''COQUIMBO''),  InCore(0), Usage(26)
Form(''FANCYING''),  InCore(0), Usage(1)
Form(''BEAST'S''),  InCore(0), Usage(11)
Form(''SOCEGO''),  InCore(0), Usage(5)
Form(''FIGUIREDA''),  InCore(0), Usage(2)
Form(''GRANARIES''),  InCore(0), Usage(3)
Form(''MANDIOCA''),  InCore(0), Usage(1)
Form(''BRAZILS''),  InCore(0), Usage(1)
Form(''FAZENDA''),  InCore(0), Usage(1)
Form(''FEIJAO''),  InCore(0), Usage(1)
Form(''UNTASTED''),  InCore(0), Usage(1)
Form(''FAZENDAS''),  InCore(0), Usage(1)
Form(''MACAE''),  InCore(0), Usage(1)
Form(''CREEPERS''),  InCore(0), Usage(6)
Form(''VAPOUR''),  InCore(0), Usage(9)
Form(''ENDEAVOURING''),  InCore(0), Usage(2)
Form(''INTERTROPICAL''),  InCore(0), Usage(12)
Form(''MIMOSAE''),  InCore(0), Usage(3)
Form(''BRUSHWOOD''),  InCore(0), Usage(19)
Form(''PETIOLES''),  InCore(0), Usage(2)
Form(''DEOS''),  InCore(0), Usage(2)
Form(''RD''),  InCore(0), Usage(18)
Form(''PLANARIA''),  InCore(0), Usage(1)
Form(''PROTRUDED''),  InCore(0), Usage(7)
Form(''DIEMAN'S''),  InCore(0), Usage(1)
Form(''TRANSVERSELY''),  InCore(0), Usage(3)
Form(''PARENCHYMATOUS''),  InCore(0), Usage(1)
Form(''EQUALLED''),  InCore(0), Usage(8)
Form(''DEXTEROUS''),  InCore(0), Usage(3)
Form(''PRACTISING''),  InCore(0), Usage(8)
Form(''PREHENSILE''),  InCore(0), Usage(1)
Form(''TOUCANS''),  InCore(0), Usage(1)
Form(''YAGOUAROUNDI''),  InCore(0), Usage(1)
Form(''PATTERING''),  InCore(0), Usage(2)
Form(''VOCALISTS''),  InCore(0), Usage(2)
Form(''HYLA''),  InCore(0), Usage(3)
Form(''CICIDAE''),  InCore(0), Usage(1)
Form(''GLOWWORMS''),  InCore(0), Usage(1)
Form(''MEDUSAE''),  InCore(0), Usage(2)
Form(''NEREIDAE''),  InCore(0), Usage(1)
Form(''CORALLINE''),  InCore(0), Usage(4)
Form(''CLYTIA''),  InCore(0), Usage(2)
Form(''PYROSMA''),  InCore(0), Usage(1)
Form(''LAMPYRIDAE''),  InCore(0), Usage(1)
Form(''GLOWWORM''),  InCore(0), Usage(2)
Form(''LAMPYRIS''),  InCore(0), Usage(2)
Form(''OCCIDENTALIS''),  InCore(0), Usage(2)
Form(''SCINTILLATION''),  InCore(0), Usage(2)
Form(''UNINTERRUPTEDLY''),  InCore(0), Usage(5)
Form(''PYROPHORUS''),  InCore(0), Usage(1)
Form(''LUMINOSUS''),  InCore(0), Usage(1)
Form(''CAMPHOR''),  InCore(0), Usage(1)
Form(''CLOVE''),  InCore(0), Usage(1)
Form(''JACA''),  InCore(0), Usage(1)
Form(''MAGNIFICENCE''),  InCore(0), Usage(7)
Form(''GAVIA''),  InCore(0), Usage(1)
Form(''TOPSAIL''),  InCore(0), Usage(1)
Form(''LILIACEOUS''),  InCore(0), Usage(2)
Form(''STREAMLETS''),  InCore(0), Usage(5)
Form(''GAYEST''),  InCore(0), Usage(2)
Form(''HYMENOPHALLUS''),  InCore(0), Usage(1)
Form(''PHALLUS''),  InCore(0), Usage(1)
Form(''STRONGYLUS''),  InCore(0), Usage(1)
Form(''ODOUR''),  InCore(0), Usage(7)
Form(''ALIGHTED''),  InCore(0), Usage(8)
Form(''LETTUCES''),  InCore(0), Usage(1)
Form(''LEPIDOPTERA''),  InCore(0), Usage(2)
Form(''RANKNESS''),  InCore(0), Usage(3)
Form(''PAPILIO''),  InCore(0), Usage(1)
Form(''FERONIA''),  InCore(0), Usage(1)
Form(''ALIGHTS''),  InCore(0), Usage(2)
Form(''YARDS'''),  InCore(0), Usage(1)
Form(''COLEOPTERA''),  InCore(0), Usage(8)
Form(''OBSCURELY''),  InCore(0), Usage(2)
Form(''ENTOMOLOGIST'S''),  InCore(0), Usage(1)
Form(''CARABIDAE''),  InCore(0), Usage(3)
Form(''QUADRUPEDS''),  InCore(0), Usage(50)
Form(''HARPALIDAE''),  InCore(0), Usage(4)
Form(''HYMENOPTERA''),  InCore(0), Usage(6)
Form(''BRACHELYTRA''),  InCore(0), Usage(2)
Form(''RHYNCOPHORA''),  InCore(0), Usage(3)
Form(''CHRYSOMELIDAE''),  InCore(0), Usage(3)
Form(''ORTHOPTERA''),  InCore(0), Usage(3)
Form(''HEMIPTERA''),  InCore(0), Usage(2)
Form(''LABOURS''),  InCore(0), Usage(5)
Form(''FORAGERS''),  InCore(0), Usage(1)
Form(''MIGRATES''),  InCore(0), Usage(3)
Form(''REASCENDED''),  InCore(0), Usage(1)
Form(''VERANDAHS''),  InCore(0), Usage(1)
Form(''PARALYSED''),  InCore(0), Usage(1)
Form(''PEPSIS''),  InCore(0), Usage(1)
Form(''LYCOSA''),  InCore(0), Usage(1)
Form(''ADVERSARY'S''),  InCore(0), Usage(5)
Form(''MANOEUVRING''),  InCore(0), Usage(2)
Form(''CORIACEOUS''),  InCore(0), Usage(1)
Form(''TIBIAE''),  InCore(0), Usage(1)
Form(''CLAVIPES''),  InCore(0), Usage(1)
Form(''FABRICIUS''),  InCore(0), Usage(1)
Form(''UNDESCRIBED''),  InCore(0), Usage(2)
Form(''FEIGNS''),  InCore(0), Usage(1)
Form(''TUBERCULATA''),  InCore(0), Usage(1)
Form(''CONICA''),  InCore(0), Usage(1)
Form(''AGAVE''),  InCore(0), Usage(3)
Form(''PRACTISES''),  InCore(0), Usage(1)
Form(''MANOEUVRE''),  InCore(0), Usage(3)
Form(''SPIDER'S''),  InCore(0), Usage(6)
Form(''PERSEVERINGLY''),  InCore(0), Usage(1)
Form(''BAJADA''),  InCore(0), Usage(8)
Form(''AZARA''),  InCore(0), Usage(18)
Form(''WALCKANAER''),  InCore(0), Usage(1)
Form(''THERIDION''),  InCore(0), Usage(1)
Form(''CORDILLERA''),  InCore(0), Usage(114)
Form(''ANNALES''),  InCore(0), Usage(2)
Form(''NATURELLES''),  InCore(0), Usage(2)
Form(''HIST''),  InCore(0), Usage(12)
Form(''XIV''),  InCore(0), Usage(6)
Form(''VALUABLE''),  InCore(0), Usage(33)
Form(''ENTOMOLOGICAL''),  InCore(0), Usage(1)
Form(''COSTAL''),  InCore(0), Usage(1)
Form(''NERVURE''),  InCore(0), Usage(1)
Form(''SUBCOSTAL''),  InCore(0), Usage(1)
Form(''NERVURES''),  InCore(0), Usage(1)
Form(''LANGSDORFF'S''),  InCore(0), Usage(1)
Form(''FEBRUA''),  InCore(0), Usage(1)
Form(''HOFFMANSEGGI''),  InCore(0), Usage(1)
Form(''ARACHNIDAE''),  InCore(0), Usage(1)
Form(''OVERMUCH''),  InCore(0), Usage(1)
Form(''FAVOURED''),  InCore(0), Usage(7)
Form(''VII''),  InCore(0), Usage(19)
Form(''LIEUT''),  InCore(0), Usage(4)
Form(''SPHEX''),  InCore(0), Usage(1)
Form(''HYMENOPTEROUS''),  InCore(0), Usage(1)
Form(''D'ENVIRON''),  InCore(0), Usage(1)
Form(''PALMES''),  InCore(0), Usage(1)
Form(''AZARA'S''),  InCore(0), Usage(4)
Form(''III''),  InCore(0), Usage(43)
Form(''BOLAS''),  InCore(0), Usage(21)
Form(''CAPYBARA''),  InCore(0), Usage(10)
Form(''TUCUTUCO''),  InCore(0), Usage(15)
Form(''MOLOTHRUS''),  InCore(0), Usage(6)
Form(''SHOAL''),  InCore(0), Usage(8)
Form(''ELMO'S''),  InCore(0), Usage(1)
Form(''BLACKSMITHS''),  InCore(0), Usage(1)
Form(''HILLOCKS''),  InCore(0), Usage(13)
Form(''CHEERFULNESS''),  InCore(0), Usage(1)
Form(''MELINDRES''),  InCore(0), Usage(1)
Form(''ENTREAT''),  InCore(0), Usage(1)
Form(''ESTANCIAS''),  InCore(0), Usage(10)
Form(''PROMETHEAN''),  InCore(0), Usage(1)
Form(''TRADESMAN''),  InCore(0), Usage(2)
Form(''ABLUTIONS''),  InCore(0), Usage(1)
Form(''MAHOMEDAN''),  InCore(0), Usage(1)
Form(''HERETICK''),  InCore(0), Usage(1)
Form(''HERETICKS''),  InCore(0), Usage(1)
Form(''JUGGLERY''),  InCore(0), Usage(1)
Form(''OUTSKIRTING''),  InCore(0), Usage(1)
Form(''PULPERIA''),  InCore(0), Usage(2)
Form(''DISSOLUTE''),  InCore(0), Usage(1)
Form(''MOUSTACHES''),  InCore(0), Usage(2)
Form(''STRUTHIO''),  InCore(0), Usage(3)
Form(''ASTERN''),  InCore(0), Usage(5)
Form(''SALUTATION''),  InCore(0), Usage(5)
Form(''PECADO''),  InCore(0), Usage(1)
Form(''CONCEBIDA''),  InCore(0), Usage(1)
Form(''HORSECLOTHS''),  InCore(0), Usage(4)
Form(''RECADO''),  InCore(0), Usage(8)
Form(''JUAN'S''),  InCore(0), Usage(2)
Form(''SIGNORITAS''),  InCore(0), Usage(1)
Form(''PLAITED''),  InCore(0), Usage(4)
Form(''SURCINGLE''),  InCore(0), Usage(1)
Form(''FASTENS''),  InCore(0), Usage(2)
Form(''WHIRLS''),  InCore(0), Usage(3)
Form(''THONGS''),  InCore(0), Usage(3)
Form(''PRACTISED''),  InCore(0), Usage(15)
Form(''NOTHURA''),  InCore(0), Usage(1)
Form(''COVEYS''),  InCore(0), Usage(1)
Form(''OSTRICH'S''),  InCore(0), Usage(3)
Form(''SPIRALLY''),  InCore(0), Usage(1)
Form(''AZUCAR''),  InCore(0), Usage(2)
Form(''ANIMAS''),  InCore(0), Usage(6)
Form(''MAMMILLATED''),  InCore(0), Usage(1)
Form(''SIGNALIZE''),  InCore(0), Usage(2)
Form(''POPLARS''),  InCore(0), Usage(7)
Form(''GUYAQUIL''),  InCore(0), Usage(1)
Form(''PEATY''),  InCore(0), Usage(8)
Form(''CERVUS''),  InCore(0), Usage(2)
Form(''CAMPESTRIS''),  InCore(0), Usage(2)
Form(''RECONNOITRE''),  InCore(0), Usage(7)
Form(''HALLOO''),  InCore(0), Usage(1)
Form(''OVERPOWERINGLY''),  InCore(0), Usage(3)
Form(''SKINNING''),  InCore(0), Usage(1)
Form(''SUBTILE''),  InCore(0), Usage(5)
Form(''EFFLUVIUM''),  InCore(0), Usage(4)
Form(''UNEATABLE''),  InCore(0), Usage(1)
Form(''RODENTIA''),  InCore(0), Usage(1)
Form(''HYDROCHAERUS''),  InCore(0), Usage(2)
Form(''HAUNCHES''),  InCore(0), Usage(5)
Form(''CONGENERS''),  InCore(0), Usage(2)
Form(''CAVIES''),  InCore(0), Usage(1)
Form(''TAMENESS''),  InCore(0), Usage(8)
Form(''IMPETUOSITY''),  InCore(0), Usage(1)
Form(''CTENOMYS''),  InCore(0), Usage(4)
Form(''BRASILIENSIS''),  InCore(0), Usage(3)
Form(''GNAWER''),  InCore(0), Usage(3)
Form(''FETLOCKS''),  InCore(0), Usage(1)
Form(''TUCUTUCOS''),  InCore(0), Usage(2)
Form(''MONOTONOUSLY''),  InCore(0), Usage(1)
Form(''NICTITATING''),  InCore(0), Usage(1)
Form(''LAMARCK''),  InCore(0), Usage(2)
Form(''ASPHALAX''),  InCore(0), Usage(2)
Form(''PROTEUS''),  InCore(0), Usage(4)
Form(''TENDINOUS''),  InCore(0), Usage(1)
Form(''ANATOMISTS''),  InCore(0), Usage(1)
Form(''PLUMING''),  InCore(0), Usage(2)
Form(''ZONOTRICHIA''),  InCore(0), Usage(1)
Form(''MATUTINA''),  InCore(0), Usage(1)
Form(''PECORIS''),  InCore(0), Usage(2)
Form(''SWAINSON''),  InCore(0), Usage(2)
Form(''PHRENOLOGICAL''),  InCore(0), Usage(2)
Form(''HATCHINGS''),  InCore(0), Usage(1)
Form(''SAUROPHAGUS''),  InCore(0), Usage(3)
Form(''SULPHURATUS''),  InCore(0), Usage(1)
Form(''FLYCATCHERS''),  InCore(0), Usage(3)
Form(''SHRIKES''),  InCore(0), Usage(1)
Form(''UNDULATORY''),  InCore(0), Usage(4)
Form(''VEO''),  InCore(0), Usage(1)
Form(''MIMUS''),  InCore(0), Usage(3)
Form(''CALANDRIA''),  InCore(0), Usage(2)
Form(''PATAGONICA''),  InCore(0), Usage(3)
Form(''D'ORBIGNY''),  InCore(0), Usage(12)
Form(''POLYBORUS''),  InCore(0), Usage(9)
Form(''GALLINAZO''),  InCore(0), Usage(10)
Form(''CARACARAS''),  InCore(0), Usage(1)
Form(''SAVANNAHS''),  InCore(0), Usage(2)
Form(''CARRANCHA''),  InCore(0), Usage(7)
Form(''UNFREQUENT''),  InCore(0), Usage(2)
Form(''CARRANCHAS''),  InCore(0), Usage(6)
Form(''CHIMANGO''),  InCore(0), Usage(5)
Form(''SEMICIRCLE''),  InCore(0), Usage(8)
Form(''NECROPHAGOUS''),  InCore(0), Usage(1)
Form(''RECOGNISED''),  InCore(0), Usage(12)
Form(''PROTRUDES''),  InCore(0), Usage(1)
Form(''CONTRADISTINCTION''),  InCore(0), Usage(1)
Form(''GORGED''),  InCore(0), Usage(5)
Form(''CHILOE''),  InCore(0), Usage(62)
Form(''NOVAE''),  InCore(0), Usage(1)
Form(''ZELANDIAE''),  InCore(0), Usage(1)
Form(''OFFAL''),  InCore(0), Usage(5)
Form(''CRAWS''),  InCore(0), Usage(1)
Form(''RAPACITY''),  InCore(0), Usage(1)
Form(''USBORNE''),  InCore(0), Usage(2)
Form(''KATER'S''),  InCore(0), Usage(2)
Form(''VULTUR''),  InCore(0), Usage(2)
Form(''CATHARTES''),  InCore(0), Usage(2)
Form(''ATRATUS''),  InCore(0), Usage(1)
Form(''EVOLUTIONS''),  InCore(0), Usage(1)
Form(''POTRERO''),  InCore(0), Usage(3)
Form(''VITRIFIED''),  InCore(0), Usage(2)
Form(''DRIGG''),  InCore(0), Usage(4)
Form(''PERPENDICULARLY''),  InCore(0), Usage(3)
Form(''CRYSTALLIZATION''),  InCore(0), Usage(6)
Form(''FURROWS''),  InCore(0), Usage(6)
Form(''SHRIVELLED''),  InCore(0), Usage(1)
Form(''UNCOMPRESSED''),  InCore(0), Usage(1)
Form(''BEUDANT''),  InCore(0), Usage(1)
Form(''FULGURITES''),  InCore(0), Usage(1)
Form(''FUSIBILITY''),  InCore(0), Usage(2)
Form(''FELSPAR''),  InCore(0), Usage(1)
Form(''RIBBENTROP''),  InCore(0), Usage(1)
Form(''GLOBULES''),  InCore(0), Usage(3)
Form(''VOLATILIZED''),  InCore(0), Usage(1)
Form(''ENAMELLED''),  InCore(0), Usage(4)
Form(''HEARNE'S''),  InCore(0), Usage(1)
Form(''BRITTANN''),  InCore(0), Usage(3)
Form(''CROIS''),  InCore(0), Usage(1)
Form(''QUANTITE''),  InCore(0), Usage(2)
Form(''ANNUELLE''),  InCore(0), Usage(1)
Form(''PLUIES''),  InCore(0), Usage(1)
Form(''DANS''),  InCore(0), Usage(11)
Form(''TOUTES''),  InCore(0), Usage(2)
Form(''CES''),  InCore(0), Usage(5)
Form(''CONTREES''),  InCore(0), Usage(1)
Form(''QU'EN''),  InCore(0), Usage(1)
Form(''ESPAGNE''),  InCore(0), Usage(1)
Form(''OESOPHAGUS''),  InCore(0), Usage(1)
Form(''CROWQUILL''),  InCore(0), Usage(1)
Form(''PHILOSOPH''),  InCore(0), Usage(4)
Form(''ZOOLOG''),  InCore(0), Usage(2)
Form(''L'INSTITUT''),  InCore(0), Usage(5)
Form(''GEOLOG''),  InCore(0), Usage(1)
Form(''XXXVII''),  InCore(0), Usage(1)
Form(''IV''),  InCore(0), Usage(45)
Form(''FLAMINGOES''),  InCore(0), Usage(4)
Form(''ZORILLO''),  InCore(0), Usage(8)
Form(''ARAUCANIANS''),  InCore(0), Usage(1)
Form(''DISMOUNTED''),  InCore(0), Usage(11)
Form(''CHUZO''),  InCore(0), Usage(4)
Form(''CHUZOS''),  InCore(0), Usage(4)
Form(''PINCHEIRA''),  InCore(0), Usage(3)
Form(''MUSKETRY''),  InCore(0), Usage(2)
Form(''CACIQUES''),  InCore(0), Usage(2)
Form(''ROUTED''),  InCore(0), Usage(1)
Form(''INDIFFERENTLY''),  InCore(0), Usage(9)
Form(''PATAGONES''),  InCore(0), Usage(5)
Form(''HEADLANDS''),  InCore(0), Usage(3)
Form(''LUCANEE''),  InCore(0), Usage(1)
Form(''TOLDOS''),  InCore(0), Usage(6)
Form(''EXPORTATION''),  InCore(0), Usage(1)
Form(''ENCAMPS''),  InCore(0), Usage(1)
Form(''WAGGONS''),  InCore(0), Usage(10)
Form(''TRENHAM''),  InCore(0), Usage(1)
Form(''ASSIGNABLE''),  InCore(0), Usage(4)
Form(''DELIQUESCENT''),  InCore(0), Usage(2)
Form(''CHLORIDES''),  InCore(0), Usage(3)
Form(''PROGENITIVE''),  InCore(0), Usage(1)
Form(''INFUSORIAL''),  InCore(0), Usage(2)
Form(''ANNELIDOUS''),  InCore(0), Usage(1)
Form(''CRUSTACEOUS''),  InCore(0), Usage(2)
Form(''SALINUS''),  InCore(0), Usage(1)
Form(''LYMINGTON''),  InCore(0), Usage(1)
Form(''POSTA''),  InCore(0), Usage(22)
Form(''POSTAS''),  InCore(0), Usage(2)
Form(''WALLEECHU''),  InCore(0), Usage(3)
Form(''ADORATIONS''),  InCore(0), Usage(1)
Form(''NEIGHBOUR''),  InCore(0), Usage(8)
Form(''NUMBERLESS''),  InCore(0), Usage(8)
Form(''VENTANA''),  InCore(0), Usage(6)
Form(''LAZOS''),  InCore(0), Usage(1)
Form(''NECESSARIES''),  InCore(0), Usage(10)
Form(''GIPSY''),  InCore(0), Usage(1)
Form(''AGOUTI''),  InCore(0), Usage(11)
Form(''CAVIA''),  InCore(0), Usage(1)
Form(''QUADRUPED''),  InCore(0), Usage(16)
Form(''TAPALGUEN''),  InCore(0), Usage(9)
Form(''BIZCACHA''),  InCore(0), Usage(16)
Form(''ATHENE''),  InCore(0), Usage(2)
Form(''CUNICULARIA''),  InCore(0), Usage(2)
Form(''INCRUSTED''),  InCore(0), Usage(6)
Form(''SALITRAL''),  InCore(0), Usage(1)
Form(''BANDITTI''),  InCore(0), Usage(2)
Form(''FUEGIAN''),  InCore(0), Usage(14)
Form(''CHINAS''),  InCore(0), Usage(1)
Form(''PLAITS''),  InCore(0), Usage(1)
Form(''BRILLIANCY''),  InCore(0), Usage(4)
Form(''FUEGIANS''),  InCore(0), Usage(43)
Form(''WHIPCORD''),  InCore(0), Usage(1)
Form(''ESTANCIA''),  InCore(0), Usage(15)
Form(''DISRESPECTFULLY''),  InCore(0), Usage(1)
Form(''BUFFOONS''),  InCore(0), Usage(1)
Form('''GO''),  InCore(0), Usage(3)
Form('''IF''),  InCore(0), Usage(3)
Form(''DOLOROUS''),  InCore(0), Usage(2)
Form(''CACIQUES'''),  InCore(0), Usage(1)
Form(''NAKEDNESS''),  InCore(0), Usage(9)
Form(''CALCAREO''),  InCore(0), Usage(1)
Form(''ARGILLACEOUS''),  InCore(0), Usage(1)
Form(''RANCHE''),  InCore(0), Usage(1)
Form(''CABEZA''),  InCore(0), Usage(1)
Form(''BUEY''),  InCore(0), Usage(1)
Form(''SOUSED''),  InCore(0), Usage(1)
Form(''VICEROYS''),  InCore(0), Usage(3)
Form(''LUXURIATE''),  InCore(0), Usage(1)
Form(''AGOUTIS''),  InCore(0), Usage(1)
Form(''ARMADILLOES''),  InCore(0), Usage(9)
Form(''SALITRALES''),  InCore(0), Usage(2)
Form(''SALTPETER''),  InCore(0), Usage(1)
Form(''PARCHAPPE''),  InCore(0), Usage(1)
Form(''MURIATE''),  InCore(0), Usage(5)
Form(''SULPHURIC''),  InCore(0), Usage(1)
Form(''QUIEN''),  InCore(0), Usage(3)
Form(''SABE''),  InCore(0), Usage(5)
Form(''MUGERES''),  InCore(0), Usage(1)
Form(''CANGREJALES''),  InCore(0), Usage(1)
Form(''CRABBERIES''),  InCore(0), Usage(1)
Form(''SHALLOWS''),  InCore(0), Usage(3)
Form(''REFRACTION''),  InCore(0), Usage(1)
Form(''ZORILLOS''),  InCore(0), Usage(1)
Form(''AGRICULT''),  InCore(0), Usage(3)
Form(''ASSOC''),  InCore(0), Usage(2)
Form(''LINNAEAN''),  InCore(0), Usage(1)
Form(''PHILOS''),  InCore(0), Usage(1)
Form(''PALLAS'S''),  InCore(0), Usage(1)
Form(''PP''),  InCore(0), Usage(42)
Form(''L'AMERIQUE''),  InCore(0), Usage(1)
Form(''MERID''),  InCore(0), Usage(1)
Form(''HYBERNATION''),  InCore(0), Usage(3)
Form(''ANTIQUARIAN''),  InCore(0), Usage(2)
Form(''PAMPEAN''),  InCore(0), Usage(3)
