---------CORE WORDS--------- 
Form(''I''), HasIPA(1), Usage(10294 )
''),  InCore(54902092), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54901580), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54901436), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54900748), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54900604), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54900332), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54899372), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54906860), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54906732), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54904956), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54903868), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54903596), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54903468), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54910796), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54910524), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54909980), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54909436), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54909292), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54909148), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54908748), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54908476), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54908348), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54908220), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54907804), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54907676), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54907276), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54914716), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54914460), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54914332), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54914188), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54913932), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54913788), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54913644), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54913516), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54913004), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54912876), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54912748), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54912604), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54912476), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54912332), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54911660), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54911532), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54911388), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54918732), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54918316), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54917916), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54917772), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54916684), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54916556), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54916012), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54915868), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54915596), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54921900), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54920524), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54920396), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54920268), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54920124), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54919852), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54919452), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54927180), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54926348), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54924684), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54924556), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54924412), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54924268), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54924124), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54923980), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54923852), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54923708), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54923564), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54923420), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54931148), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54930876), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54930748), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54930476), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54930188), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54929916), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54929772), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54929500), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54928028), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54927756), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54927628), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54935532), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54935276), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54934876), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54933916), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54932940), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54931580), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54939468), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54939196), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54938764), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54938076), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54936300), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54935740), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54943100), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54942572), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54940908), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54940508), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54939820), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54947820), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54947676), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54943916), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54951756), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54951084), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54948748), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54948188), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54955340), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54954364), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54953836), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54953292), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54959836), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54959308), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54958492), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54958348), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54957260), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54960188), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54967980), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54967836), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54967692), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54967276), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54966428), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54964652), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54972124), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54970588), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54970188), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54969916), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54969516), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54969132), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54968588), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54976220), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54975932), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54979852), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54976812), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54984380), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54982764), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54982348), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54981132), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54980844), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54988428), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54987052), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54986380), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54985132), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54992748), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54991900), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54991756), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54991484), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54989212), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54989084), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(54996828), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55000540), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55002220), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55008620), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55008348), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55007932), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55007228), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55010316), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55009916), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55009788), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55013644), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55021148), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55020876), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55020460), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55019612), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55018348), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55025500), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55024684), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55024540), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55022908), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55022764), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55022508), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55022108), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55029596), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55029452), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55021532), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55026108), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55025964), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55033244), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55032956), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55032396), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55032268), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55030764), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55036572), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55034924), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55033980), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55040700), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55040284), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55039884), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55039484), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55038924), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55038780), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55038492), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55038348), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55046108), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55045980), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55045580), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55045036), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55044332), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55044060), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55043804), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55042588), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55042316), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55048444), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55048300), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55048044), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55047900), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55047468), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55052668), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55051580), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55051036), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55057612), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55057468), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55057212), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55057084), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55055564), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55061868), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55066588), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55065740), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55064316), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55070124), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55069852), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55069564), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55069420), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55069276), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55069004), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55068860), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55068716), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55068572), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55068044), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55067916), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55067772), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55067628), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55067484), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55067340), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55067212), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55066940), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55066812), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55074556), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55073996), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55073708), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55073436), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55073148), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55073004), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55071340), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55082652), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55082380), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55082092), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55080460), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55080332), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55084348), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55090572), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55090444), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55090316), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55090044), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55089388), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55089244), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55088972), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55088828), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55094940), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55094268), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55093052), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55098812), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55098684), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55097324), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55097180), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55102492), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55101356), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55100316), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55100172), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55100028), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55099740), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55107340), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55106396), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55105580), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55104172), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55111644), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55110508), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55110364), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55109116), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55115740), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55115468), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55115324), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55114780), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55114076), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55113660), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55112012), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55119036), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55118764), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55118492), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55116300), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55115884), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55123180), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55123052), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55122908), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55122636), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55121948), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55121260), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55126860), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55126732), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55126460), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55126044), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55125900), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55125756), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55124828), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55124700), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55132076), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55131676), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55130572), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55130012), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55129484), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55129084), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55128668), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55128540), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55128268), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55134828), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55132764), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55139724), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55139596), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55138780), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55138524), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55138380), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55137148), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55143852), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55143708), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55143308), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55143036), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55142396), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55142124), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55141708), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55141436), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55119852), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55148524), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55148380), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55147852), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55146492), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55146364), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55146092), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55145580), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55145452), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55144524), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55140460), Usage(0 )
Form(''%s, IPA=%d, Usage=%d 
''),  InCore(55151948), Usage(0 )
